BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202203,5,2148,202203,5,2157,165719,1001872,WISCONSIN,55,2022,March,Tornado,C,25,DANE,MKX,05-MAR-22 21:48:00,CST-6,05-MAR-22 21:57:00,0,0,0,0,50.00K,0.00K,NWS Storm Survey,,,,,EF1,5.98,50,,,,,1,W,HANERVILLE,3,NNW,ALBION,42.871,-89.1947,42.9175,-89.0951,"A cluster/line of thunderstorms moved across southern Wisconsin the evening of March 5th.  Within this line of storms, some briefly intense downburst winds occurred across portions of south central to east central Wisconsin.  A brief tornado also occurred in southeast Dane county.  Quite a bit of structural damage was noted to a number of farming sheds and buildings in areas of Dane, Rock and Fond du Lac counties. Heavy rainfall on a frozen ground also led to some basement flooding and minor street flooding.|A home was struck by lightning in the Town of Deerfield.","The tornado path started to the southeast of the town of Dunkirk in Dane County.  This tornado went through a farm and destroyed a tobacco barn, part of a silo and peeled back sheet metal on a few buildings on the grounds.  This sheet metal was noted to have been lofted to locations nearly a mile away.  A few other structures had structural damage to them along the path.",CSV
202203,5,1701,202203,5,1701,165719,1004522,WISCONSIN,55,2022,March,Hail,C,111,SAUK,MKX,05-MAR-22 17:01:00,CST-6,05-MAR-22 17:01:00,0,0,0,0,0.00K,0.00K,Trained Spotter,1.00,,,,,,,,,,,1,NW,PRAIRIE DU SAC,1,NW,PRAIRIE DU SAC,43.29,-89.73,43.29,-89.73,"A cluster/line of thunderstorms moved across southern Wisconsin the evening of March 5th.  Within this line of storms, some briefly intense downburst winds occurred across portions of south central to east central Wisconsin.  A brief tornado also occurred in southeast Dane county.  Quite a bit of structural damage was noted to a number of farming sheds and buildings in areas of Dane, Rock and Fond du Lac counties. Heavy rainfall on a frozen ground also led to some basement flooding and minor street flooding.|A home was struck by lightning in the Town of Deerfield.",,CSV
202203,5,2207,202203,5,2207,165719,1004548,WISCONSIN,55,2022,March,Thunderstorm Wind,C,105,ROCK,MKX,05-MAR-22 22:07:00,CST-6,05-MAR-22 22:07:00,0,0,0,0,20.00K,0.00K,Public,70.00,EG,,,,,,,,,,2,S,CHARLIE BLUFF,2,S,CHARLIE BLUFF,42.8051,-88.9713,42.8051,-88.9713,"A cluster/line of thunderstorms moved across southern Wisconsin the evening of March 5th.  Within this line of storms, some briefly intense downburst winds occurred across portions of south central to east central Wisconsin.  A brief tornado also occurred in southeast Dane county.  Quite a bit of structural damage was noted to a number of farming sheds and buildings in areas of Dane, Rock and Fond du Lac counties. Heavy rainfall on a frozen ground also led to some basement flooding and minor street flooding.|A home was struck by lightning in the Town of Deerfield.",Eighteen 40 foot pine trees sheared off about 15 feet above the ground. Several other trees downed nearby. A tree landed on a garage piercing the roof.,CSV
202205,30,1900,202205,30,1902,170024,1030229,WISCONSIN,55,2022,May,Thunderstorm Wind,C,13,BURNETT,DLH,30-MAY-22 19:00:00,CST-6,30-MAY-22 19:02:00,0,0,0,0,0.00K,0.00K,Trained Spotter,50.00,EG,,,,,,,,,,4,SE,DANBURY,4,SE,DANBURY,45.96,-92.31,45.96,-92.31,"A strong area of low pressure across the Northern Plains lifted a warm front across the Northland on Memorial Day morning. Showers and storms moved through during the morning hours with the atmosphere recovering during the afternoon hours An arc of thunderstorms developed across southwestern Minnesota and adjacent areas of Nebraska, South Dakota and Iowa by the mid-afternoon hours and moved to the northeast and across the Northland for the late afternoon and evening hours. As the storms moved into northwest Wisconsin, they quickly weekend and only produced sporadic wind damage as they raced to the northeast.",A few small trees were down along with a few larger trees that were blocking roads in the area.,CSV
202205,30,2010,202205,30,2012,170024,1030230,WISCONSIN,55,2022,May,Thunderstorm Wind,C,31,DOUGLAS,DLH,30-MAY-22 20:10:00,CST-6,30-MAY-22 20:12:00,0,0,0,0,10.00K,0.00K,Public,50.00,EG,,,,,,,,,,1,SE,LAKE NEBAGAMON,1,SE,LAKE NEBAGAMON,46.51,-91.69,46.51,-91.69,"A strong area of low pressure across the Northern Plains lifted a warm front across the Northland on Memorial Day morning. Showers and storms moved through during the morning hours with the atmosphere recovering during the afternoon hours An arc of thunderstorms developed across southwestern Minnesota and adjacent areas of Nebraska, South Dakota and Iowa by the mid-afternoon hours and moved to the northeast and across the Northland for the late afternoon and evening hours. As the storms moved into northwest Wisconsin, they quickly weekend and only produced sporadic wind damage as they raced to the northeast.",Large pine trees were snapped and fell onto a garage and outbuilding causing damage.,CSV
202205,30,2005,202205,30,2007,170024,1030228,WISCONSIN,55,2022,May,Thunderstorm Wind,C,31,DOUGLAS,DLH,30-MAY-22 20:05:00,CST-6,30-MAY-22 20:07:00,0,0,0,0,0.00K,0.00K,Public,50.00,EG,,,,,,,,,,0,N,BENNETT,0,N,BENNETT,46.45,-91.85,46.45,-91.85,"A strong area of low pressure across the Northern Plains lifted a warm front across the Northland on Memorial Day morning. Showers and storms moved through during the morning hours with the atmosphere recovering during the afternoon hours An arc of thunderstorms developed across southwestern Minnesota and adjacent areas of Nebraska, South Dakota and Iowa by the mid-afternoon hours and moved to the northeast and across the Northland for the late afternoon and evening hours. As the storms moved into northwest Wisconsin, they quickly weekend and only produced sporadic wind damage as they raced to the northeast.",Lawn furniture and a 50 pound grill were blown across a yard.,CSV
202210,1,0,202210,31,2359,175056,1061183,WISCONSIN,55,2022,October,Drought,Z,3,ASHLAND,DLH,01-OCT-22 00:00:00,CST-6,31-OCT-22 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Drought conditions across northwestern Wisconsin during the month of October were fairly steady state with just a slight expansion of D2 Severe Drought near Chequamegon Bay during the middle of the month. Overall, precipitation was only about 25-50% of normal for the month, but no significant expansion of D2 Severe Drought was observed across the region.",Dry conditions persisted across Ashland County during the month of October. Just under an inch of precipitation was recorded for the month at the Ashland airport which was nearly two inches below normal. Despite this only minor expansion of D2 Severe Drought was seen with the update on the 11th. The area of D2 Severe Drought was confined to the far northwestern corner of the county near Chequamegon Bay. No further changes were noted over the remainder of the month.,CSV
202210,12,1045,202210,12,1045,173555,1056243,WISCONSIN,55,2022,October,Thunderstorm Wind,C,131,WASHINGTON,MKX,12-OCT-22 10:45:00,CST-6,12-OCT-22 10:45:00,0,0,0,0,0.00K,0.00K,Social Media,52.00,EG,,,,,,,,,,1,NW,HARTFORD,1,NW,HARTFORD,43.33,-88.39,43.33,-88.39,"A cold front moving through southern Wisconsin was the focus for tornadic development through the lunch hour.  Temperatures and dew points rose enough in the late morning to help fuel the strengthening of the rain along the front.  There were numerous tornadic debris signatures that developed, many of which appeared to be extremely brief which did no damage outside of lofting leaves into the air.  The main tornado for this event was the one that went through West Allis which mainly did tree damage as it came through.  No lightning was observed through this event.",A 60 mph wind gust was reported in Hartford.,CSV
202210,12,1043,202210,12,1043,173555,1056248,WISCONSIN,55,2022,October,Thunderstorm Wind,C,133,WAUKESHA,MKX,12-OCT-22 10:43:00,CST-6,12-OCT-22 10:43:00,0,0,0,0,5.00K,0.00K,Public,50.00,EG,,,,,,,,,,1,SW,OKAUCHEE,1,SW,OKAUCHEE,43.1103,-88.4413,43.1103,-88.4413,"A cold front moving through southern Wisconsin was the focus for tornadic development through the lunch hour.  Temperatures and dew points rose enough in the late morning to help fuel the strengthening of the rain along the front.  There were numerous tornadic debris signatures that developed, many of which appeared to be extremely brief which did no damage outside of lofting leaves into the air.  The main tornado for this event was the one that went through West Allis which mainly did tree damage as it came through.  No lightning was observed through this event.",Multiple trees and power lines down.,CSV
202210,12,1053,202210,12,1053,173555,1056250,WISCONSIN,55,2022,October,Thunderstorm Wind,C,133,WAUKESHA,MKX,12-OCT-22 10:53:00,CST-6,12-OCT-22 10:53:00,0,0,0,0,2.00K,0.00K,Public,50.00,EG,,,,,,,,,,1,SE,MERTON,1,SE,MERTON,43.14,-88.31,43.14,-88.31,"A cold front moving through southern Wisconsin was the focus for tornadic development through the lunch hour.  Temperatures and dew points rose enough in the late morning to help fuel the strengthening of the rain along the front.  There were numerous tornadic debris signatures that developed, many of which appeared to be extremely brief which did no damage outside of lofting leaves into the air.  The main tornado for this event was the one that went through West Allis which mainly did tree damage as it came through.  No lightning was observed through this event.",A tree snapped and large branches down.,CSV
